nghìn	3
ngàn	3
triệu	6
tỉ	9
tỷ	9
nghìn tỉ	12
nghìn tỷ	12
ngàn tỉ	12
ngàn tỷ	12
triệu tỉ	15
triệu tỷ	15
tỉ tỉ	18
tỉ tỷ	18
tỷ tỉ	18
tỷ tỷ	18
