₫	đồng
₫	việt nam đồng
$	đô la
$	đô
$	đô la mĩ
$	đô la mỹ
£	bảng anh
€	ơ rô
₩	uôn
¥	yên
CNY	nhân dân tệ
AUD	đô la úc
RUB	rúp
RUB	rúp nga
MYR	ring gít
SGD	đô la sinh ga po
SGD	đô la xinh ga po
SGD	đô la sin ga po
SGD	đô la xin ga po
CAD	đô la ca na da
